Player,Squad,Pos,Min,Min_num,low_min_flag,fw_post,fw_role,fw_role_proba,runner_index_raw,runner_index_z_st,alt_role_any,alt_role_any_proba,p_fw_role_INSIDE_FORWARD,p_fw_role_ST_FINISHER,p_fw_role_ST_LINK,p_fw_role_ST_RUNNER,p_fw_role_WIDE_WINGER,p_any_INSIDE_FORWARD,p_any_ST_FINISHER,p_any_ST_LINK,p_any_ST_RUNNER,p_any_WIDE_WINGER
Callum Wilson,newcastle utd,FW,370,370,True,ST,ST_FINISHER,0.999999999999,32.457,-0.8273615834577877,INSIDE_FORWARD,0.49999999999975,,0.999999999999,0.0,0.0,,0.49999999999975,0.49999999999975,0.0,0.0,1.2486639957515338e-21
Harvey Barnes,newcastle utd,FW,1755,1755,False,NON_ST,INSIDE_FORWARD,0.9999999194876522,129.023,0.0,ST_FINISHER,0.49999999999975003,0.9999999194876522,,,,8.051134776116695e-08,0.49999995974407613,0.49999999999975003,0.0,0.0,4.025567388060361e-08
Jacob Murphy,newcastle utd,FW,2360,2360,False,NON_ST,WIDE_WINGER,0.999999999999,96.104,0.0,ST_FINISHER,0.49999999999975,2.0618392573941067e-18,,,,0.999999999999,1.0309196286975687e-18,0.49999999999975,0.0,0.0,0.49999999999975
Miguel Almirón,newcastle utd,FW,157,157,True,NON_ST,WIDE_WINGER,0.9999994947495011,70.60100000000001,0.0,ST_FINISHER,0.49999999999975,5.052494989548678e-07,,,,0.9999994947495011,2.526247494775602e-07,0.49999999999975,7.977998131758046e-81,0.0,0.4999997473750005
William Osula,newcastle utd,FW,134,134,True,NON_ST,INSIDE_FORWARD,0.5521717479777809,93.12100000000001,0.0,ST_FINISHER,0.49999999999975003,0.5521717479777809,,,,0.44782825202121906,0.2760858739890285,0.49999999999975003,0.0,0.0,0.2239141260107215
Chris Wood,nott'ham forest,FW,2959,2959,False,ST,ST_FINISHER,0.999999999999,22.975,-1.5109200289229257,INSIDE_FORWARD,0.49999999999975,,0.999999999999,0.0,0.0,,0.49999999999975,0.49999999999975,0.0,0.0,1.0785654049162686e-21
Taiwo Awoniyi,nott'ham forest,FW,416,416,True,ST,ST_FINISHER,0.999999999999,47.799,0.2786449204787392,INSIDE_FORWARD,0.49999999999975,,0.999999999999,2.2482845362596693e-133,0.0,,0.49999999999975,0.49999999999975,1.1241422681303966e-133,0.0,1.8493574920646912e-21
Ben Brereton,southampton,FW,449,449,True,NON_ST,INSIDE_FORWARD,0.999999999996608,87.466,0.0,ST_FINISHER,0.49999999999975,0.999999999996608,,,,2.3920047426843252e-12,0.499999999998554,0.49999999999975,1.2818005135362883e-127,0.0,1.1960023713427606e-12
Cameron Archer,southampton,FW,1441,1441,False,ST,ST_FINISHER,0.999999999999,40.0505,-0.27994531519797694,INSIDE_FORWARD,0.49999999999975,,0.999999999999,6.337167552168127e-213,0.0,,0.49999999999975,0.49999999999975,3.168583776085648e-213,0.0,4.9461884182949534e-21
Maxwel Cornet,southampton,FW,72,72,True,NON_ST,INSIDE_FORWARD,0.9999999999721275,43.955,0.0,ST_FINISHER,0.4999999999997499,0.9999999999721275,,,,2.6872524136361522e-11,0.49999999998631367,0.4999999999997499,0.0,0.0,1.3436262068187477e-11
Paul Onuachu,southampton,FW,1050,1050,False,ST,ST_FINISHER,0.999999999999,30.995,-0.9327573277385335,INSIDE_FORWARD,0.49999999999975,,0.999999999999,0.0,0.0,,0.49999999999975,0.49999999999975,0.0,0.0,1.1006265443951495e-19
Ross Stewart,southampton,FW,389,389,True,ST,ST_FINISHER,0.999999999999,27.486000000000004,-1.1857215320347967,INSIDE_FORWARD,0.4999999999997499,,0.999999999999,0.0,0.0,,0.4999999999997499,0.49999999999975,0.0,0.0,3.4932791657911116e-17
Brennan Johnson,tottenham,FW,2177,2177,False,NON_ST,INSIDE_FORWARD,0.9999999999989309,70.40899999999999,0.0,ST_FINISHER,0.49999999999975,0.9999999999989309,,,,6.922155990146557e-14,0.4999999999997154,0.49999999999975,1.0688281613483674e-109,0.0,3.461077995075009e-14
Dominic Solanke,tottenham,FW,2201,2201,False,ST,ST_FINISHER,0.999999999999,40.395500000000006,-0.2550742264313162,INSIDE_FORWARD,0.49999999999975,,0.999999999999,6.512107003647664e-215,0.0,,0.49999999999975,0.49999999999975,3.2560535018254597e-215,0.0,6.91241141605672e-21
Mathys Tel,tottenham,FW,911,911,False,NON_ST,WIDE_WINGER,0.9999999999920295,86.36800000000001,0.0,ST_FINISHER,0.49999999999975,6.970553960979579e-12,,,,0.9999999999920295,3.485276980491532e-12,0.49999999999975,0.0,0.0,0.4999999999962647
Mikey Moore,tottenham,FW,366,366,True,NON_ST,WIDE_WINGER,0.9999998068286564,96.55700000000002,0.0,ST_FINISHER,0.49999999999975,1.9317034360831723e-07,,,,0.9999998068286564,9.65851718042069e-08,0.49999999999975,0.0,0.0,0.4999999034145782
Richarlison,tottenham,FW,504,504,True,ST,ST_FINISHER,0.999999999999,37.86600000000001,-0.4374261656639745,INSIDE_FORWARD,0.49999999999975,,0.999999999999,3.5505255901126175e-260,0.0,,0.49999999999975,0.49999999999975,1.7752627950571962e-260,0.0,1.4359506836937515e-22
Son Heung-min,tottenham,FW,2110,2110,False,NON_ST,INSIDE_FORWARD,0.9999998753819213,120.67550000000001,0.0,ST_FINISHER,0.49999999999975,0.9999998753819213,,,,1.246170787483003e-07,0.4999999376912106,0.49999999999975,0.0,0.0,6.23085393741813e-08
Evan Ferguson,west ham,FW,156,156,True,NON_ST,INSIDE_FORWARD,0.9976563389276523,36.013000000000005,0.0,ST_FINISHER,0.49999999999975,0.9976563389276523,,,,0.0023436610713476872,0.4988281694640755,0.49999999999975,0.0,0.0,0.0011718305356744295
Michail Antonio,west ham,FW,836,836,False,NON_ST,INSIDE_FORWARD,0.9999999921206764,78.069,0.0,ST_FINISHER,0.49999999999975,0.9999999921206764,,,,7.878323644378369e-09,0.49999999606058815,0.49999999999975,4.288201576120092e-239,0.0,3.939161822191154e-09
Niclas Füllkrug,west ham,FW,790,790,False,ST,ST_LINK,0.999999999999,32.660999999999994,-0.8126552005348934,INSIDE_FORWARD,0.49999935495317344,,1.615523924165679e-32,0.999999999999,0.0,,0.49999935495317344,8.077619620832434e-33,0.49999999999975003,0.0,6.450465765819965e-07
Jørgen Strand Larsen,wolves,FW,2587,2587,False,ST,ST_FINISHER,0.999999999999,24.892000000000003,-1.372723283515135,INSIDE_FORWARD,0.49999999999975,,0.999999999999,0.0,0.0,,0.49999999999975,0.49999999999975,0.0,0.0,2.3759173009574102e-24
